Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pension Details,Chrome 66.0.3359.181,,2018-05-18 14:48:44,2018-05-18 14:49:23,39.392s,PASSED
,,,,,,
Test Cases/Misc/Login,Chrome 66.0.3359.181,,2018-05-18 14:48:45,2018-05-18 14:49:23,37.815s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-18 14:48:45,2018-05-18 14:48:53,7.798s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-18 14:48:53,2018-05-18 14:48:56,2.946s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-18 14:48:56,2018-05-18 14:48:57,0.369s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 14:48:57,2018-05-18 14:48:57,0.160s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 14:48:57,2018-05-18 14:49:02,5.057s,PASSED
mouseOver,Chrome 66.0.3359.181,,2018-05-18 14:49:02,2018-05-18 14:49:06,4.059s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 14:49:06,2018-05-18 14:49:11,5.003s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 14:49:11,2018-05-18 14:49:11,0.127s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 14:49:11,2018-05-18 14:49:16,5.001s,PASSED
mouseOver,Chrome 66.0.3359.181,,2018-05-18 14:49:16,2018-05-18 14:49:16,0.091s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-18 14:49:16,2018-05-18 14:49:21,5.004s,PASSED
click,Chrome 66.0.3359.181,,2018-05-18 14:49:21,2018-05-18 14:49:23,1.518s,PASSED
